Year,Country,Country Url,Region Code,Region,Rank Per Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Social Support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,alpha-2,alpha-3
2019,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142,ASIA,Asia,95,5.0820,Amber,0.8130,0.0000,1.3210,0.6040,0.4570,0.3700,0.1670,BT,BTN
2019,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2,AFRICA,Africa,96,5.0440,Amber,0.5490,0.0000,0.9100,0.3310,0.3810,0.1870,0.0370,CM,CMR
2019,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150,EUROPE,Europe,97,5.0110,Amber,1.0920,0.0000,1.5130,0.8150,0.3110,0.0810,0.0040,BG,BGR
2019,Ghana,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,2,AFRICA,Africa,98,4.9960,Amber,0.6110,0.0000,0.8680,0.4860,0.3810,0.2450,0.0400,GH,GHA
2019,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,,nan,,99,4.9440,Amber,0.5690,0.0000,0.8080,0.2320,0.3520,0.1540,0.0900,,
2019,Nepal,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg,142,ASIA,Asia,100,4.9130,Amber,0.4460,0.0000,1.2260,0.6770,0.4390,0.2850,0.0890,NP,NPL
2019,Jordan,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,142,ASIA,Asia,101,4.9060,Amber,0.8370,0.0000,1.2250,0.8150,0.3830,0.1100,0.1300,JO,JOR
2019,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2,AFRICA,Africa,102,4.8830,Amber,0.3930,0.0000,0.4370,0.3970,0.3490,0.1750,0.0820,BJ,BEN
2019,Gabon,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,2,AFRICA,Africa,104,4.7990,Amber,1.0570,0.0000,1.1830,0.5710,0.2950,0.0430,0.0550,GA,GAB
2019,Laos,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg,142,ASIA,Asia,105,4.7960,Amber,0.7640,0.0000,1.0300,0.5510,0.5470,0.2660,0.1640,LA,LAO
2019,South Africa,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,2,AFRICA,Africa,106,4.7220,Amber,0.9600,0.0000,1.3510,0.4690,0.3890,0.1300,0.0550,ZA,ZAF
2019,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150,EUROPE,Europe,107,4.7190,Amber,0.9470,0.0000,0.8480,0.8740,0.3830,0.1780,0.0270,AL,ALB
2019,Venezuela,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg,19,AMERICAS,Americas,108,4.7070,Amber,0.9600,0.0000,1.4270,0.8050,0.1540,0.0640,0.0470,VE,VEN
2019,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142,ASIA,Asia,109,4.7000,Amber,0.5740,0.0000,1.1220,0.6370,0.6090,0.2320,0.0620,KH,KHM
2019,Senegal,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,2,AFRICA,Africa,111,4.6810,Amber,0.4500,0.0000,1.1340,0.5710,0.2920,0.1530,0.0720,SN,SEN
